Accel X,Accel Y,Accel Z,MoCap X,Mocap Y,Mocap Z,Classification
-1.400115,1.121800,-0.287961,2.273300,1.227400,-0.436900,1
-1.439342,1.121800,-0.287961,2.273200,1.227400,-0.436800,1
-1.439342,1.121800,-0.287961,2.273100,1.227300,-0.436800,1
-1.439342,1.121800,-0.287961,2.273000,1.227200,-0.436700,1
-1.439342,1.121800,-0.248734,2.272900,1.227200,-0.436600,1
-1.400115,1.121800,-0.287961,2.272900,1.227200,-0.436600,1
-1.360889,1.082574,-0.287961,2.272800,1.227100,-0.436500,1
-1.360889,1.082574,-0.287961,2.272800,1.227100,-0.436500,1
-1.400115,1.161027,-0.209508,2.272700,1.227000,-0.436500,1
-1.400115,1.200253,-0.209508,2.272600,1.227000,-0.436400,1
-1.400115,1.200253,-0.209508,2.272500,1.227000,-0.436400,1
-1.478569,1.278707,-0.209508,2.272500,1.226900,-0.436400,1
-1.478569,1.239480,-0.248734,2.272500,1.226900,-0.436300,1
-1.478569,1.200253,-0.248734,2.272400,1.226900,-0.436400,1
-1.478569,1.200253,-0.248734,2.272300,1.226800,-0.436400,1
-1.439342,1.121800,-0.248734,2.272300,1.226800,-0.436400,1
-1.439342,1.043347,-0.287961,2.272300,1.226800,-0.436400,1
-1.439342,0.964894,-0.327188,2.272300,1.226800,-0.436400,1
-1.400115,0.964894,-0.327188,2.272300,1.226700,-0.436400,1
-1.400115,0.964894,-0.327188,2.272300,1.226700,-0.436400,1
-1.400115,0.964894,-0.327188,2.272400,1.226700,-0.436400,1
-1.360889,0.964894,-0.327188,2.272400,1.226700,-0.436400,1
-1.360889,0.964894,-0.327188,2.272500,1.226600,-0.436500,1
-1.360889,1.082574,-0.327188,2.272500,1.226600,-0.436400,1
-1.360889,1.161027,-0.327188,2.272600,1.226600,-0.436400,1
-1.321662,1.239480,-0.327188,2.272600,1.226600,-0.436500,1
-1.321662,1.239480,-0.327188,2.272600,1.226600,-0.436500,1
-1.360889,1.278707,-0.327188,2.272700,1.226700,-0.436500,1
-1.282436,1.278707,-0.327188,2.272700,1.226600,-0.436500,1
-1.282436,1.239480,-0.366415,2.272600,1.226700,-0.436500,1
-1.282436,1.239480,-0.366415,2.272600,1.226700,-0.436500,1
-1.282436,1.239480,-0.366415,2.272600,1.226700,-0.436500,1
-1.243209,1.239480,-0.327188,2.272500,1.226800,-0.436400,1
-1.282436,1.278707,-0.366415,2.272500,1.226800,-0.436400,1
-1.282436,1.278707,-0.366415,2.272300,1.226800,-0.436400,1
-1.360889,1.278707,-0.327188,2.272300,1.226900,-0.436400,1
-1.439342,1.239480,-0.366415,2.272200,1.226900,-0.436300,1
-1.439342,1.239480,-0.366415,2.272100,1.227100,-0.436300,1
